time_ms,site,sensor,value,unit,temp_C,hum_pct,press_hPa
140744,1,MQ4_CH4,16.195,ppm,28.93,61.59,1009.25
140744,1,MQ136_H2S,2.160,ppm,28.93,61.59,1009.25
140744,1,MQ8_H2,0.047,ppm,28.93,61.59,1009.25
140744,1,MQ135_CO2,400.187,ppm,28.93,61.59,1009.25
140739,1,BME_TEMP,28.930,C,28.93,61.59,1009.25
140739,1,BME_HUM,61.591,%,28.93,61.59,1009.25
140739,1,BME_PRESS,1009.250,hPa,28.93,61.59,1009.25
140739,1,EC,179,uS/cm,28.9,61.6,1009.2
140739,1,PH,6.46,,28.9,61.6,1009.2
140739,1,NITROGEN,50,mg/kg,28.9,61.6,1009.2
140739,1,PHOSPHORUS,25,mg/kg,28.9,61.6,1009.2
140739,1,POTASSIUM,50,mg/kg,28.9,61.6,1009.2
140739,1,SOIL_TEMP,27.6,C,28.9,61.6,1009.2
140739,1,SOIL_HUM,73.4,%,28.9,61.6,1009.2
140739,1,SOIL_MOISTURE,18,%,28.9,61.6,1009.2
142493,1,MQ4_CH4,16.260,ppm,28.92,61.62,1009.27
142493,1,MQ136_H2S,2.160,ppm,28.92,61.62,1009.27
142493,1,MQ8_H2,0.047,ppm,28.92,61.62,1009.27
142493,1,MQ135_CO2,400.187,ppm,28.92,61.62,1009.27
142488,1,BME_TEMP,28.920,C,28.92,61.62,1009.27
142488,1,BME_HUM,61.623,%,28.92,61.62,1009.27
142488,1,BME_PRESS,1009.268,hPa,28.92,61.62,1009.27
142488,1,EC,186,uS/cm,28.9,61.6,1009.3
142488,1,PH,6.64,,28.9,61.6,1009.3
142488,1,NITROGEN,40,mg/kg,28.9,61.6,1009.3
142488,1,PHOSPHORUS,25,mg/kg,28.9,61.6,1009.3
142488,1,POTASSIUM,54,mg/kg,28.9,61.6,1009.3
142488,1,SOIL_TEMP,27.6,C,28.9,61.6,1009.3
142488,1,SOIL_HUM,73.4,%,28.9,61.6,1009.3
142488,1,SOIL_MOISTURE,18,%,28.9,61.6,1009.3
144193,1,MQ4_CH4,16.351,ppm,28.91,61.66,1009.24
144193,1,MQ136_H2S,2.167,ppm,28.91,61.66,1009.24
144193,1,MQ8_H2,0.048,ppm,28.91,61.66,1009.24
144193,1,MQ135_CO2,400.187,ppm,28.91,61.66,1009.24
144188,1,BME_TEMP,28.910,C,28.91,61.66,1009.24
144188,1,BME_HUM,61.657,%,28.91,61.66,1009.24
144188,1,BME_PRESS,1009.243,hPa,28.91,61.66,1009.24
144188,1,EC,181,uS/cm,28.9,61.7,1009.2
144188,1,PH,6.41,,28.9,61.7,1009.2
144188,1,NITROGEN,38,mg/kg,28.9,61.7,1009.2
144188,1,PHOSPHORUS,25,mg/kg,28.9,61.7,1009.2
144188,1,POTASSIUM,41,mg/kg,28.9,61.7,1009.2
144188,1,SOIL_TEMP,27.7,C,28.9,61.7,1009.2
144188,1,SOIL_HUM,75.3,%,28.9,61.7,1009.2
144188,1,SOIL_MOISTURE,19,%,28.9,61.7,1009.2
145892,1,MQ4_CH4,16.368,ppm,28.89,61.70,1009.20
145892,1,MQ136_H2S,2.177,ppm,28.89,61.70,1009.20
145892,1,MQ8_H2,0.048,ppm,28.89,61.70,1009.20
145892,1,MQ135_CO2,400.187,ppm,28.89,61.70,1009.20
145887,1,BME_TEMP,28.890,C,28.89,61.70,1009.20
145887,1,BME_HUM,61.700,%,28.89,61.70,1009.20
145887,1,BME_PRESS,1009.204,hPa,28.89,61.70,1009.20
145887,1,EC,190,uS/cm,28.9,61.7,1009.2
145887,1,PH,6.73,,28.9,61.7,1009.2
145887,1,NITROGEN,34,mg/kg,28.9,61.7,1009.2
145887,1,PHOSPHORUS,25,mg/kg,28.9,61.7,1009.2
145887,1,POTASSIUM,51,mg/kg,28.9,61.7,1009.2
145887,1,SOIL_TEMP,27.7,C,28.9,61.7,1009.2
