time_ms,site,sensor,value,unit,temp_C,hum_pct,press_hPa
140744,1,MQ4_CH4,18.468,ppm,28.94,60.02,1009.17
140744,1,MQ136_H2S,2.009,ppm,28.94,60.02,1009.17
140744,1,MQ8_H2,0.051,ppm,28.94,60.02,1009.17
140744,1,MQ135_CO2,400.174,ppm,28.94,60.02,1009.17
140740,1,BME_TEMP,28.940,C,28.94,60.02,1009.17
140740,1,BME_HUM,60.017,%,28.94,60.02,1009.17
140740,1,BME_PRESS,1009.172,hPa,28.94,60.02,1009.17
140740,1,EC,170,uS/cm,28.9,60.0,1009.2
140740,1,PH,6.60,,28.9,60.0,1009.2
140740,1,NITROGEN,42,mg/kg,28.9,60.0,1009.2
140740,1,PHOSPHORUS,25,mg/kg,28.9,60.0,1009.2
140740,1,POTASSIUM,67,mg/kg,28.9,60.0,1009.2
140740,1,SOIL_TEMP,27.4,C,28.9,60.0,1009.2
140740,1,SOIL_HUM,73.4,%,28.9,60.0,1009.2
140740,1,SOIL_MOISTURE,17,%,28.9,60.0,1009.2
142492,1,MQ4_CH4,18.468,ppm,28.94,59.98,1009.15
142492,1,MQ136_H2S,2.009,ppm,28.94,59.98,1009.15
142492,1,MQ8_H2,0.051,ppm,28.94,59.98,1009.15
142492,1,MQ135_CO2,400.174,ppm,28.94,59.98,1009.15
142488,1,BME_TEMP,28.940,C,28.94,59.98,1009.15
142488,1,BME_HUM,59.982,%,28.94,59.98,1009.15
142488,1,BME_PRESS,1009.154,hPa,28.94,59.98,1009.15
142488,1,EC,178,uS/cm,28.9,60.0,1009.2
142488,1,PH,6.19,,28.9,60.0,1009.2
142488,1,NITROGEN,30,mg/kg,28.9,60.0,1009.2
142488,1,PHOSPHORUS,25,mg/kg,28.9,60.0,1009.2
142488,1,POTASSIUM,57,mg/kg,28.9,60.0,1009.2
142488,1,SOIL_TEMP,27.4,C,28.9,60.0,1009.2
142488,1,SOIL_HUM,73.4,%,28.9,60.0,1009.2
142488,1,SOIL_MOISTURE,17,%,28.9,60.0,1009.2
144192,1,MQ4_CH4,18.468,ppm,28.93,59.94,1009.14
144192,1,MQ136_H2S,2.009,ppm,28.93,59.94,1009.14
144192,1,MQ8_H2,0.051,ppm,28.93,59.94,1009.14
144192,1,MQ135_CO2,400.177,ppm,28.93,59.94,1009.14
144188,1,BME_TEMP,28.930,C,28.93,59.94,1009.14
144188,1,BME_HUM,59.936,%,28.93,59.94,1009.14
144188,1,BME_PRESS,1009.144,hPa,28.93,59.94,1009.14
144188,1,EC,152,uS/cm,28.9,59.9,1009.1
144188,1,PH,6.21,,28.9,59.9,1009.1
144188,1,NITROGEN,32,mg/kg,28.9,59.9,1009.1
144188,1,PHOSPHORUS,25,mg/kg,28.9,59.9,1009.1
144188,1,POTASSIUM,42,mg/kg,28.9,59.9,1009.1
144188,1,SOIL_TEMP,27.5,C,28.9,59.9,1009.1
144188,1,SOIL_HUM,73.5,%,28.9,59.9,1009.1
144188,1,SOIL_MOISTURE,17,%,28.9,59.9,1009.1
145892,1,MQ4_CH4,18.468,ppm,28.93,59.89,1009.13
145892,1,MQ136_H2S,2.009,ppm,28.93,59.89,1009.13
145892,1,MQ8_H2,0.051,ppm,28.93,59.89,1009.13
145892,1,MQ135_CO2,400.179,ppm,28.93,59.89,1009.13
145887,1,BME_TEMP,28.930,C,28.93,59.89,1009.13
145887,1,BME_HUM,59.891,%,28.93,59.89,1009.13
145887,1,BME_PRESS,1009.128,hPa,28.93,59.89,1009.13
145887,1,EC,175,uS/cm,28.9,59.9,1009.1
145887,1,PH,6.55,,28.9,59.9,1009.1
145887,1,NITROGEN,27,mg/kg,28.9,59.9,1009.1
145887,1,PHOSPHORUS,25,mg/kg,28.9,59.9,1009.1
145887,1,POTASSIUM,47,mg/kg,28.9,59.9,1009.1
145887,1,SOIL_TEMP,27.5,C,28.9,59.9,1009.1
145887,1,SOIL_HUM,73.5,%,28.9,59.9,1009.1
145887,1,SOIL_MOISTURE,17,%,28.9,59.9,1009.1
147592,1,MQ4_CH4,18.468,ppm,28.93,59.82,1009.12
147592,1,MQ136_H2S,2.006,ppm,28.93,59.82,1009.12
147592,1,MQ8_H2,0.051,ppm,28.93,59.82,1009.12
147592,1,MQ135_CO2,400.181,ppm,28.93,59.82,1009.12
147587,1,BME_TEMP,28.930,C,28.93,59.82,1009.12
147587,1,BME_HUM,59.821,%,28.93,59.82,1009.12
147587,1,BME_PRESS,1009.117,hPa,28.93,59.82,1009.12
147587,1,EC,144,uS/cm,28.9,59.8,1009.1
147587,1,PH,6.63,,28.9,59.8,1009.1
147587,1,NITROGEN,35,mg/kg,28.9,59.8,1009.1
147587,1,PHOSPHORUS,25,mg/kg,28.9,59.8,1009.1
147587,1,POTASSIUM,48,mg/kg,28.9,59.8,1009.1
147587,1,SOIL_TEMP,27.5,C,28.9,59.8,1009.1
147587,1,SOIL_HUM,73.5,%,28.9,59.8,1009.1
147587,1,SOIL_MOISTURE,17,%,28.9,59.8,1009.1
149291,1,MQ4_CH4,18.468,ppm,28.92,59.76,1009.14
149291,1,MQ136_H2S,2.004,ppm,28.92,59.76,1009.14
149291,1,MQ8_H2,0.051,ppm,28.92,59.76,1009.14
149291,1,MQ135_CO2,400.183,ppm,28.92,59.76,1009.14
149286,1,BME_TEMP,28.920,C,28.92,59.76,1009.14
149286,1,BME_HUM,59.764,%,28.92,59.76,1009.14
149286,1,BME_PRESS,1009.143,hPa,28.92,59.76,1009.14
149286,1,EC,179,uS/cm,28.9,59.8,1009.1
149286,1,PH,6.25,,28.9,59.8,1009.1
149286,1,NITROGEN,28,mg/kg,28.9,59.8,1009.1
149286,1,PHOSPHORUS,25,mg/kg,28.9,59.8,1009.1
149286,1,POTASSIUM,60,mg/kg,28.9,59.8,1009.1
149286,1,SOIL_TEMP,27.5,C,28.9,59.8,1009.1
149286,1,SOIL_HUM,73.5,%,28.9,59.8,1009.1
149286,1,SOIL_MOISTURE,17,%,28.9,59.8,1009.1
150991,1,MQ4_CH4,18.468,ppm,28.93,59.76,1009.16
150991,1,MQ136_H2S,2.001,ppm,28.93,59.76,1009.16
150991,1,MQ8_H2,0.051,ppm,28.93,59.76,1009.16
150991,1,MQ135_CO2,400.184,ppm,28.93,59.76,1009.16
150986,1,BME_TEMP,28.930,C,28.93,59.76,1009.16
150986,1,BME_HUM,59.764,%,28.93,59.76,1009.16
150986,1,BME_PRESS,1009.156,hPa,28.93,59.76,1009.16
150986,1,EC,181,uS/cm,28.9,59.8,1009.2
150986,1,PH,6.71,,28.9,59.8,1009.2
150986,1,NITROGEN,30,mg/kg,28.9,59.8,1009.2
150986,1,PHOSPHORUS,25,mg/kg,28.9,59.8,1009.2
150986,1,POTASSIUM,63,mg/kg,28.9,59.8,1009.2
150986,1,SOIL_TEMP,27.5,C,28.9,59.8,1009.2
150986,1,SOIL_HUM,73.4,%,28.9,59.8,1009.2
150986,1,SOIL_MOISTURE,17,%,28.9,59.8,1009.2
152690,1,MQ4_CH4,18.468,ppm,28.93,59.78,1009.18
152690,1,MQ136_H2S,1.996,ppm,28.93,59.78,1009.18
152690,1,MQ8_H2,0.051,ppm,28.93,59.78,1009.18
152690,1,MQ135_CO2,400.186,ppm,28.93,59.78,1009.18
152685,1,BME_TEMP,28.930,C,28.93,59.78,1009.18
152685,1,BME_HUM,59.776,%,28.93,59.78,1009.18
152685,1,BME_PRESS,1009.183,hPa,28.93,59.78,1009.18
152685,1,EC,186,uS/cm,28.9,59.8,1009.2
152685,1,PH,6.56,,28.9,59.8,1009.2
152685,1,NITROGEN,33,mg/kg,28.9,59.8,1009.2
152685,1,PHOSPHORUS,25,mg/kg,28.9,59.8,1009.2
152685,1,POTASSIUM,47,mg/kg,28.9,59.8,1009.2
152685,1,SOIL_TEMP,27.5,C,28.9,59.8,1009.2
152685,1,SOIL_HUM,73.4,%,28.9,59.8,1009.2
152685,1,SOIL_MOISTURE,17,%,28.9,59.8,1009.2
154390,1,MQ4_CH4,18.468,ppm,28.92,59.77,1009.13
154390,1,MQ136_H2S,1.991,ppm,28.92,59.77,1009.13
154390,1,MQ8_H2,0.051,ppm,28.92,59.77,1009.13
154390,1,MQ135_CO2,400.185,ppm,28.92,59.77,1009.13
154385,1,BME_TEMP,28.920,C,28.92,59.77,1009.13
154385,1,BME_HUM,59.773,%,28.92,59.77,1009.13
154385,1,BME_PRESS,1009.125,hPa,28.92,59.77,1009.13
154385,1,EC,145,uS/cm,28.9,59.8,1009.1
154385,1,PH,6.34,,28.9,59.8,1009.1
154385,1,NITROGEN,36,mg/kg,28.9,59.8,1009.1
154385,1,PHOSPHORUS,25,mg/kg,28.9,59.8,1009.1
154385,1,POTASSIUM,52,mg/kg,28.9,59.8,1009.1
154385,1,SOIL_TEMP,27.5,C,28.9,59.8,1009.1
154385,1,SOIL_HUM,73.4,%,28.9,59.8,1009.1
154385,1,SOIL_MOISTURE,17,%,28.9,59.8,1009.1
156089,1,MQ4_CH4,18.468,ppm,28.93,59.76,1009.17
156089,1,MQ136_H2S,1.987,ppm,28.93,59.76,1009.17
156089,1,MQ8_H2,0.051,ppm,28.93,59.76,1009.17
156089,1,MQ135_CO2,400.186,ppm,28.93,59.76,1009.17
156085,1,BME_TEMP,28.930,C,28.93,59.76,1009.17
156085,1,BME_HUM,59.765,%,28.93,59.76,1009.17
156085,1,BME_PRESS,1009.167,hPa,28.93,59.76,1009.17
156085,1,EC,195,uS/cm,28.9,59.8,1009.2
156085,1,PH,6.42,,28.9,59.8,1009.2
156085,1,NITROGEN,34,mg/kg,28.9,59.8,1009.2
156085,1,PHOSPHORUS,25,mg/kg,28.9,59.8,1009.2
