time_ms,site,sensor,value,unit,temp_C,hum_pct,press_hPa
124278,1,MQ4_CH4,18.538,ppm,24.31,50.34,1013.08
124278,1,MQ136_H2S,2.087,ppm,24.31,50.34,1013.08
124278,1,MQ8_H2,0.050,ppm,24.31,50.34,1013.08
124278,1,MQ135_CO2,400.219,ppm,24.31,50.34,1013.08
124274,1,BME_TEMP,24.310,C,24.31,50.34,1013.08
124274,1,BME_HUM,50.339,%,24.31,50.34,1013.08
124274,1,BME_PRESS,1013.078,hPa,24.31,50.34,1013.08
126638,1,MQ4_CH4,18.513,ppm,24.30,49.87,1013.05
126638,1,MQ136_H2S,2.091,ppm,24.30,49.87,1013.05
126638,1,MQ8_H2,0.050,ppm,24.30,49.87,1013.05
126638,1,MQ135_CO2,400.220,ppm,24.30,49.87,1013.05
126632,1,BME_TEMP,24.300,C,24.30,49.87,1013.05
126632,1,BME_HUM,49.873,%,24.30,49.87,1013.05
126632,1,BME_PRESS,1013.046,hPa,24.30,49.87,1013.05
128976,1,MQ4_CH4,18.464,ppm,24.30,49.63,1013.06
128976,1,MQ136_H2S,2.090,ppm,24.30,49.63,1013.06
128976,1,MQ8_H2,0.050,ppm,24.30,49.63,1013.06
128976,1,MQ135_CO2,400.221,ppm,24.30,49.63,1013.06
128971,1,BME_TEMP,24.300,C,24.30,49.63,1013.06
128971,1,BME_HUM,49.635,%,24.30,49.63,1013.06
128971,1,BME_PRESS,1013.060,hPa,24.30,49.63,1013.06
131315,1,MQ4_CH4,18.421,ppm,24.28,49.78,1013.03
131315,1,MQ136_H2S,2.094,ppm,24.28,49.78,1013.03
131315,1,MQ8_H2,0.050,ppm,24.28,49.78,1013.03
131315,1,MQ135_CO2,400.221,ppm,24.28,49.78,1013.03
131311,1,BME_TEMP,24.280,C,24.28,49.78,1013.03
131311,1,BME_HUM,49.780,%,24.28,49.78,1013.03
131311,1,BME_PRESS,1013.026,hPa,24.28,49.78,1013.03
133655,1,MQ4_CH4,18.382,ppm,24.26,49.94,1013.04
133655,1,MQ136_H2S,2.093,ppm,24.26,49.94,1013.04
133655,1,MQ8_H2,0.050,ppm,24.26,49.94,1013.04
133655,1,MQ135_CO2,400.220,ppm,24.26,49.94,1013.04
133650,1,BME_TEMP,24.260,C,24.26,49.94,1013.04
133650,1,BME_HUM,49.937,%,24.26,49.94,1013.04
133650,1,BME_PRESS,1013.037,hPa,24.26,49.94,1013.04
135994,1,MQ4_CH4,18.321,ppm,24.26,49.80,1013.06
135994,1,MQ136_H2S,2.096,ppm,24.26,49.80,1013.06
135994,1,MQ8_H2,0.050,ppm,24.26,49.80,1013.06
135994,1,MQ135_CO2,400.221,ppm,24.26,49.80,1013.06
135989,1,BME_TEMP,24.260,C,24.26,49.80,1013.06
135989,1,BME_HUM,49.801,%,24.26,49.80,1013.06
135989,1,BME_PRESS,1013.060,hPa,24.26,49.80,1013.06
138333,1,MQ4_CH4,18.292,ppm,24.25,49.82,1013.07
138333,1,MQ136_H2S,2.099,ppm,24.25,49.82,1013.07
138333,1,MQ8_H2,0.050,ppm,24.25,49.82,1013.07
138333,1,MQ135_CO2,400.221,ppm,24.25,49.82,1013.07
138328,1,BME_TEMP,24.250,C,24.25,49.82,1013.07
138328,1,BME_HUM,49.822,%,24.25,49.82,1013.07
