time_ms,site,sensor,value,unit,temp_C,hum_pct,press_hPa
126508,1,MQ4_CH4,18.616,ppm,23.15,56.94,1014.50
126508,1,MQ136_H2S,2.113,ppm,23.15,56.94,1014.50
126508,1,MQ8_H2,0.050,ppm,23.15,56.94,1014.50
126508,1,MQ135_CO2,400.236,ppm,23.15,56.94,1014.50
124274,1,BME_TEMP,23.150,C,23.15,56.94,1014.50
124274,1,BME_HUM,56.940,%,23.15,56.94,1014.50
124274,1,BME_PRESS,1014.497,hPa,23.15,56.94,1014.50
129075,1,MQ4_CH4,18.587,ppm,23.14,56.94,1014.48
129075,1,MQ136_H2S,2.113,ppm,23.14,56.94,1014.48
129075,1,MQ8_H2,0.050,ppm,23.14,56.94,1014.48
129075,1,MQ135_CO2,400.236,ppm,23.14,56.94,1014.48
126841,1,BME_TEMP,23.140,C,23.14,56.94,1014.48
126841,1,BME_HUM,56.938,%,23.14,56.94,1014.48
126841,1,BME_PRESS,1014.485,hPa,23.14,56.94,1014.48
131642,1,MQ4_CH4,18.561,ppm,23.13,56.97,1014.45
131642,1,MQ136_H2S,2.113,ppm,23.13,56.97,1014.45
131642,1,MQ8_H2,0.050,ppm,23.13,56.97,1014.45
131642,1,MQ135_CO2,400.236,ppm,23.13,56.97,1014.45
129409,1,BME_TEMP,23.130,C,23.13,56.97,1014.45
129409,1,BME_HUM,56.972,%,23.13,56.97,1014.45
129409,1,BME_PRESS,1014.447,hPa,23.13,56.97,1014.45
134209,1,MQ4_CH4,18.538,ppm,23.11,56.96,1014.51
134209,1,MQ136_H2S,2.113,ppm,23.11,56.96,1014.51
134209,1,MQ8_H2,0.050,ppm,23.11,56.96,1014.51
134209,1,MQ135_CO2,400.236,ppm,23.11,56.96,1014.51
131976,1,BME_TEMP,23.110,C,23.11,56.96,1014.51
131976,1,BME_HUM,56.957,%,23.11,56.96,1014.51
131976,1,BME_PRESS,1014.506,hPa,23.11,56.96,1014.51
136776,1,MQ4_CH4,18.517,ppm,23.10,56.98,1014.49
136776,1,MQ136_H2S,2.116,ppm,23.10,56.98,1014.49
136776,1,MQ8_H2,0.050,ppm,23.10,56.98,1014.49
136776,1,MQ135_CO2,400.236,ppm,23.10,56.98,1014.49
134543,1,BME_TEMP,23.100,C,23.10,56.98,1014.49
134543,1,BME_HUM,56.979,%,23.10,56.98,1014.49
134543,1,BME_PRESS,1014.487,hPa,23.10,56.98,1014.49
139343,1,MQ4_CH4,18.498,ppm,23.09,57.00,1014.51
139343,1,MQ136_H2S,2.116,ppm,23.09,57.00,1014.51
139343,1,MQ8_H2,0.050,ppm,23.09,57.00,1014.51
139343,1,MQ135_CO2,400.236,ppm,23.09,57.00,1014.51
137110,1,BME_TEMP,23.090,C,23.09,57.00,1014.51
137110,1,BME_HUM,56.999,%,23.09,57.00,1014.51
137110,1,BME_PRESS,1014.509,hPa,23.09,57.00,1014.51
141911,1,MQ4_CH4,18.481,ppm,23.07,57.04,1014.48
141911,1,MQ136_H2S,2.115,ppm,23.07,57.04,1014.48
141911,1,MQ8_H2,0.050,ppm,23.07,57.04,1014.48
141911,1,MQ135_CO2,400.236,ppm,23.07,57.04,1014.48
139677,1,BME_TEMP,23.070,C,23.07,57.04,1014.48
139677,1,BME_HUM,57.043,%,23.07,57.04,1014.48
139677,1,BME_PRESS,1014.480,hPa,23.07,57.04,1014.48
144478,1,MQ4_CH4,18.466,ppm,23.06,57.04,1014.48
144478,1,MQ136_H2S,2.115,ppm,23.06,57.04,1014.48
144478,1,MQ8_H2,0.050,ppm,23.06,57.04,1014.48
144478,1,MQ135_CO2,400.236,ppm,23.06,57.04,1014.48
142244,1,BME_TEMP,23.060,C,23.06,57.04,1014.48
142244,1,BME_HUM,57.042,%,23.06,57.04,1014.48
142244,1,BME_PRESS,1014.480,hPa,23.06,57.04,1014.48
147045,1,MQ4_CH4,18.452,ppm,23.07,57.08,1014.48
147045,1,MQ136_H2S,2.115,ppm,23.07,57.08,1014.48
147045,1,MQ8_H2,0.050,ppm,23.07,57.08,1014.48
147045,1,MQ135_CO2,400.232,ppm,23.07,57.08,1014.48
144812,1,BME_TEMP,23.070,C,23.07,57.08,1014.48
144812,1,BME_HUM,57.076,%,23.07,57.08,1014.48
144812,1,BME_PRESS,1014.485,hPa,23.07,57.08,1014.48
149612,1,MQ4_CH4,18.439,ppm,23.07,57.07,1014.53
149612,1,MQ136_H2S,2.115,ppm,23.07,57.07,1014.53
149612,1,MQ8_H2,0.050,ppm,23.07,57.07,1014.53
149612,1,MQ135_CO2,400.233,ppm,23.07,57.07,1014.53
147379,1,BME_TEMP,23.070,C,23.07,57.07,1014.53
147379,1,BME_HUM,57.065,%,23.07,57.07,1014.53
147379,1,BME_PRESS,1014.525,hPa,23.07,57.07,1014.53
152179,1,MQ4_CH4,18.428,ppm,23.08,57.07,1014.50
152179,1,MQ136_H2S,2.115,ppm,23.08,57.07,1014.50
