time_ms,site,sensor,value,unit,temp_C,hum_pct,press_hPa
126507,1,MQ4_CH4,18.334,ppm,23.95,57.46,1016.12
126507,1,MQ136_H2S,2.084,ppm,23.95,57.46,1016.12
126507,1,MQ8_H2,0.050,ppm,23.95,57.46,1016.12
126507,1,MQ135_CO2,400.227,ppm,23.95,57.46,1016.12
124274,1,BME_TEMP,23.950,C,23.95,57.46,1016.12
124274,1,BME_HUM,57.460,%,23.95,57.46,1016.12
124274,1,BME_PRESS,1016.120,hPa,23.95,57.46,1016.12
129074,1,MQ4_CH4,18.334,ppm,23.95,57.44,1016.08
129074,1,MQ136_H2S,2.084,ppm,23.95,57.44,1016.08
129074,1,MQ8_H2,0.050,ppm,23.95,57.44,1016.08
129074,1,MQ135_CO2,400.227,ppm,23.95,57.44,1016.08
126841,1,BME_TEMP,23.950,C,23.95,57.44,1016.08
126841,1,BME_HUM,57.436,%,23.95,57.44,1016.08
126841,1,BME_PRESS,1016.082,hPa,23.95,57.44,1016.08
131641,1,MQ4_CH4,18.334,ppm,23.94,57.44,1016.12
131641,1,MQ136_H2S,2.084,ppm,23.94,57.44,1016.12
131641,1,MQ8_H2,0.050,ppm,23.94,57.44,1016.12
131641,1,MQ135_CO2,400.227,ppm,23.94,57.44,1016.12
129409,1,BME_TEMP,23.940,C,23.94,57.44,1016.12
129409,1,BME_HUM,57.436,%,23.94,57.44,1016.12
129409,1,BME_PRESS,1016.118,hPa,23.94,57.44,1016.12
134208,1,MQ4_CH4,18.334,ppm,23.94,57.45,1016.12
134208,1,MQ136_H2S,2.084,ppm,23.94,57.45,1016.12
134208,1,MQ8_H2,0.050,ppm,23.94,57.45,1016.12
134208,1,MQ135_CO2,400.227,ppm,23.94,57.45,1016.12
131976,1,BME_TEMP,23.940,C,23.94,57.45,1016.12
131976,1,BME_HUM,57.447,%,23.94,57.45,1016.12
131976,1,BME_PRESS,1016.119,hPa,23.94,57.45,1016.12
136775,1,MQ4_CH4,18.365,ppm,23.93,57.44,1016.11
136775,1,MQ136_H2S,2.084,ppm,23.93,57.44,1016.11
136775,1,MQ8_H2,0.050,ppm,23.93,57.44,1016.11
136775,1,MQ135_CO2,400.227,ppm,23.93,57.44,1016.11
134543,1,BME_TEMP,23.930,C,23.93,57.44,1016.11
134543,1,BME_HUM,57.436,%,23.93,57.44,1016.11
134543,1,BME_PRESS,1016.111,hPa,23.93,57.44,1016.11
139342,1,MQ4_CH4,18.362,ppm,23.94,57.46,1016.10
139342,1,MQ136_H2S,2.084,ppm,23.94,57.46,1016.10
139342,1,MQ8_H2,0.050,ppm,23.94,57.46,1016.10
139342,1,MQ135_CO2,400.227,ppm,23.94,57.46,1016.10
137110,1,BME_TEMP,23.940,C,23.94,57.46,1016.10
137110,1,BME_HUM,57.458,%,23.94,57.46,1016.10
137110,1,BME_PRESS,1016.104,hPa,23.94,57.46,1016.10
141910,1,MQ4_CH4,18.390,ppm,23.94,57.44,1016.12
141910,1,MQ136_H2S,2.084,ppm,23.94,57.44,1016.12
141910,1,MQ8_H2,0.050,ppm,23.94,57.44,1016.12
141910,1,MQ135_CO2,400.227,ppm,23.94,57.44,1016.12
139677,1,BME_TEMP,23.940,C,23.94,57.44,1016.12
139677,1,BME_HUM,57.436,%,23.94,57.44,1016.12
139677,1,BME_PRESS,1016.120,hPa,23.94,57.44,1016.12
144477,1,MQ4_CH4,18.416,ppm,23.94,57.44,1016.13
144477,1,MQ136_H2S,2.084,ppm,23.94,57.44,1016.13
144477,1,MQ8_H2,0.050,ppm,23.94,57.44,1016.13
144477,1,MQ135_CO2,400.227,ppm,23.94,57.44,1016.13
142244,1,BME_TEMP,23.940,C,23.94,57.44,1016.13
142244,1,BME_HUM,57.436,%,23.94,57.44,1016.13
142244,1,BME_PRESS,1016.131,hPa,23.94,57.44,1016.13
147044,1,MQ4_CH4,18.438,ppm,23.93,57.40,1016.10
147044,1,MQ136_H2S,2.084,ppm,23.93,57.40,1016.10
147044,1,MQ8_H2,0.050,ppm,23.93,57.40,1016.10
147044,1,MQ135_CO2,400.227,ppm,23.93,57.40,1016.10
144812,1,BME_TEMP,23.930,C,23.93,57.40,1016.10
144812,1,BME_HUM,57.400,%,23.93,57.40,1016.10
144812,1,BME_PRESS,1016.105,hPa,23.93,57.40,1016.10
149611,1,MQ4_CH4,18.459,ppm,23.92,57.43,1016.10
149611,1,MQ136_H2S,2.084,ppm,23.92,57.43,1016.10
149611,1,MQ8_H2,0.050,ppm,23.92,57.43,1016.10
149611,1,MQ135_CO2,400.227,ppm,23.92,57.43,1016.10
147379,1,BME_TEMP,23.920,C,23.92,57.43,1016.10
147379,1,BME_HUM,57.434,%,23.92,57.43,1016.10
147379,1,BME_PRESS,1016.102,hPa,23.92,57.43,1016.10
152178,1,MQ4_CH4,18.477,ppm,23.90,57.42,1016.09
152178,1,MQ136_H2S,2.084,ppm,23.90,57.42,1016.09
152178,1,MQ8_H2,0.050,ppm,23.90,57.42,1016.09
152178,1,MQ135_CO2,400.227,ppm,23.90,57.42,1016.09
149946,1,BME_TEMP,23.900,C,23.90,57.42,1016.09
149946,1,BME_HUM,57.419,%,23.90,57.42,1016.09
149946,1,BME_PRESS,1016.092,hPa,23.90,57.42,1016.09
154745,1,MQ4_CH4,18.494,ppm,23.89,57.45,1016.10
154745,1,MQ136_H2S,2.081,ppm,23.89,57.45,1016.10
154745,1,MQ8_H2,0.050,ppm,23.89,57.45,1016.10
154745,1,MQ135_CO2,400.227,ppm,23.89,57.45,1016.10
152513,1,BME_TEMP,23.890,C,23.89,57.45,1016.10
152513,1,BME_HUM,57.452,%,23.89,57.45,1016.10
