time_ms,site,sensor,value,unit,temp_C,hum_pct,press_hPa
150011,1,BME_TEMP,19.050,C,19.05,55.33,1018.56
150011,1,BME_HUM,55.328,%,19.05,55.33,1018.56
150011,1,BME_PRESS,1018.562,hPa,19.05,55.33,1018.56
152354,1,MQ4_CH4,0.617,ppm,19.05,55.33,1018.60
152354,1,MQ136_H2S,0.597,ppm,19.05,55.33,1018.60
152354,1,MQ8_H2,0.148,ppm,19.05,55.33,1018.60
152354,1,MQ135_CO2,403.226,ppm,19.05,55.33,1018.60
152350,1,BME_TEMP,19.050,C,19.05,55.33,1018.60
152350,1,BME_HUM,55.327,%,19.05,55.33,1018.60
152350,1,BME_PRESS,1018.601,hPa,19.05,55.33,1018.60
154692,1,MQ4_CH4,0.556,ppm,19.03,55.32,1018.58
154692,1,MQ136_H2S,0.578,ppm,19.03,55.32,1018.58
154692,1,MQ8_H2,0.135,ppm,19.03,55.32,1018.58
154692,1,MQ135_CO2,402.978,ppm,19.03,55.32,1018.58
154688,1,BME_TEMP,19.030,C,19.03,55.32,1018.58
154688,1,BME_HUM,55.324,%,19.03,55.32,1018.58
154688,1,BME_PRESS,1018.584,hPa,19.03,55.32,1018.58
157031,1,MQ4_CH4,0.502,ppm,19.03,55.34,1018.61
157031,1,MQ136_H2S,0.556,ppm,19.03,55.34,1018.61
157031,1,MQ8_H2,0.123,ppm,19.03,55.34,1018.61
157031,1,MQ135_CO2,402.712,ppm,19.03,55.34,1018.61
157026,1,BME_TEMP,19.030,C,19.03,55.34,1018.61
157026,1,BME_HUM,55.337,%,19.03,55.34,1018.61
157026,1,BME_PRESS,1018.611,hPa,19.03,55.34,1018.61
159369,1,MQ4_CH4,0.453,ppm,19.03,55.34,1018.57
159369,1,MQ136_H2S,0.545,ppm,19.03,55.34,1018.57
159369,1,MQ8_H2,0.113,ppm,19.03,55.34,1018.57
159369,1,MQ135_CO2,402.519,ppm,19.03,55.34,1018.57
159364,1,BME_TEMP,19.030,C,19.03,55.34,1018.57
159364,1,BME_HUM,55.336,%,19.03,55.34,1018.57
159364,1,BME_PRESS,1018.570,hPa,19.03,55.34,1018.57
161707,1,MQ4_CH4,0.408,ppm,19.03,55.31,1018.57
161707,1,MQ136_H2S,0.527,ppm,19.03,55.31,1018.57
161707,1,MQ8_H2,0.103,ppm,19.03,55.31,1018.57
161707,1,MQ135_CO2,402.307,ppm,19.03,55.31,1018.57
161701,1,BME_TEMP,19.030,C,19.03,55.31,1018.57
161701,1,BME_HUM,55.314,%,19.03,55.31,1018.57
