time_ms,site,sensor,value,unit,temp_C,hum_pct,press_hPa
126508,1,MQ4_CH4,18.358,ppm,22.98,57.46,1014.53
126508,1,MQ136_H2S,2.086,ppm,22.98,57.46,1014.53
126508,1,MQ8_H2,0.050,ppm,22.98,57.46,1014.53
126508,1,MQ135_CO2,400.232,ppm,22.98,57.46,1014.53
124274,1,BME_TEMP,22.980,C,22.98,57.46,1014.53
124274,1,BME_HUM,57.461,%,22.98,57.46,1014.53
124274,1,BME_PRESS,1014.533,hPa,22.98,57.46,1014.53
129075,1,MQ4_CH4,18.358,ppm,23.00,57.44,1014.53
129075,1,MQ136_H2S,2.089,ppm,23.00,57.44,1014.53
129075,1,MQ8_H2,0.050,ppm,23.00,57.44,1014.53
129075,1,MQ135_CO2,400.232,ppm,23.00,57.44,1014.53
126841,1,BME_TEMP,23.000,C,23.00,57.44,1014.53
126841,1,BME_HUM,57.439,%,23.00,57.44,1014.53
126841,1,BME_PRESS,1014.530,hPa,23.00,57.44,1014.53
131642,1,MQ4_CH4,18.358,ppm,23.00,57.45,1014.55
131642,1,MQ136_H2S,2.092,ppm,23.00,57.45,1014.55
131642,1,MQ8_H2,0.050,ppm,23.00,57.45,1014.55
131642,1,MQ135_CO2,400.232,ppm,23.00,57.45,1014.55
129409,1,BME_TEMP,23.000,C,23.00,57.45,1014.55
129409,1,BME_HUM,57.452,%,23.00,57.45,1014.55
129409,1,BME_PRESS,1014.554,hPa,23.00,57.45,1014.55
134209,1,MQ4_CH4,18.358,ppm,23.01,57.40,1014.55
134209,1,MQ136_H2S,2.095,ppm,23.01,57.40,1014.55
134209,1,MQ8_H2,0.050,ppm,23.01,57.40,1014.55
134209,1,MQ135_CO2,400.232,ppm,23.01,57.40,1014.55
131976,1,BME_TEMP,23.010,C,23.01,57.40,1014.55
131976,1,BME_HUM,57.396,%,23.01,57.40,1014.55
131976,1,BME_PRESS,1014.554,hPa,23.01,57.40,1014.55
136776,1,MQ4_CH4,18.358,ppm,23.01,57.38,1014.55
136776,1,MQ136_H2S,2.097,ppm,23.01,57.38,1014.55
136776,1,MQ8_H2,0.050,ppm,23.01,57.38,1014.55
136776,1,MQ135_CO2,400.232,ppm,23.01,57.38,1014.55
134543,1,BME_TEMP,23.010,C,23.01,57.38,1014.55
134543,1,BME_HUM,57.384,%,23.01,57.38,1014.55
134543,1,BME_PRESS,1014.550,hPa,23.01,57.38,1014.55
139343,1,MQ4_CH4,18.358,ppm,23.01,57.37,1014.56
139343,1,MQ136_H2S,2.096,ppm,23.01,57.37,1014.56
139343,1,MQ8_H2,0.050,ppm,23.01,57.37,1014.56
139343,1,MQ135_CO2,400.232,ppm,23.01,57.37,1014.56
137110,1,BME_TEMP,23.010,C,23.01,57.37,1014.56
137110,1,BME_HUM,57.373,%,23.01,57.37,1014.56
137110,1,BME_PRESS,1014.556,hPa,23.01,57.37,1014.56
141911,1,MQ4_CH4,18.358,ppm,23.01,57.37,1014.54
141911,1,MQ136_H2S,2.095,ppm,23.01,57.37,1014.54
141911,1,MQ8_H2,0.050,ppm,23.01,57.37,1014.54
141911,1,MQ135_CO2,400.232,ppm,23.01,57.37,1014.54
139677,1,BME_TEMP,23.010,C,23.01,57.37,1014.54
139677,1,BME_HUM,57.374,%,23.01,57.37,1014.54
139677,1,BME_PRESS,1014.538,hPa,23.01,57.37,1014.54
144478,1,MQ4_CH4,18.358,ppm,23.01,57.36,1014.53
144478,1,MQ136_H2S,2.094,ppm,23.01,57.36,1014.53
144478,1,MQ8_H2,0.050,ppm,23.01,57.36,1014.53
144478,1,MQ135_CO2,400.232,ppm,23.01,57.36,1014.53
142244,1,BME_TEMP,23.010,C,23.01,57.36,1014.53
142244,1,BME_HUM,57.361,%,23.01,57.36,1014.53
142244,1,BME_PRESS,1014.532,hPa,23.01,57.36,1014.53
147045,1,MQ4_CH4,18.358,ppm,23.01,57.35,1014.53
147045,1,MQ136_H2S,2.093,ppm,23.01,57.35,1014.53
147045,1,MQ8_H2,0.050,ppm,23.01,57.35,1014.53
147045,1,MQ135_CO2,400.232,ppm,23.01,57.35,1014.53
144812,1,BME_TEMP,23.010,C,23.01,57.35,1014.53
144812,1,BME_HUM,57.352,%,23.01,57.35,1014.53
144812,1,BME_PRESS,1014.530,hPa,23.01,57.35,1014.53
149612,1,MQ4_CH4,18.358,ppm,23.02,57.36,1014.55
149612,1,MQ136_H2S,2.093,ppm,23.02,57.36,1014.55
149612,1,MQ8_H2,0.050,ppm,23.02,57.36,1014.55
149612,1,MQ135_CO2,400.232,ppm,23.02,57.36,1014.55
147379,1,BME_TEMP,23.020,C,23.02,57.36,1014.55
147379,1,BME_HUM,57.363,%,23.02,57.36,1014.55
147379,1,BME_PRESS,1014.545,hPa,23.02,57.36,1014.55
152179,1,MQ4_CH4,18.358,ppm,23.03,57.37,1014.54
152179,1,MQ136_H2S,2.092,ppm,23.03,57.37,1014.54
152179,1,MQ8_H2,0.050,ppm,23.03,57.37,1014.54
152179,1,MQ135_CO2,400.232,ppm,23.03,57.37,1014.54
149946,1,BME_TEMP,23.030,C,23.03,57.37,1014.54
149946,1,BME_HUM,57.365,%,23.03,57.37,1014.54
149946,1,BME_PRESS,1014.539,hPa,23.03,57.37,1014.54
154746,1,MQ4_CH4,18.358,ppm,23.03,57.39,1014.52
154746,1,MQ136_H2S,2.091,ppm,23.03,57.39,1014.52
154746,1,MQ8_H2,0.050,ppm,23.03,57.39,1014.52
154746,1,MQ135_CO2,400.232,ppm,23.03,57.39,1014.52
152513,1,BME_TEMP,23.030,C,23.03,57.39,1014.52
152513,1,BME_HUM,57.387,%,23.03,57.39,1014.52
152513,1,BME_PRESS,1014.520,hPa,23.03,57.39,1014.52
157314,1,MQ4_CH4,18.358,ppm,23.03,57.43,1014.53
157314,1,MQ136_H2S,2.091,ppm,23.03,57.43,1014.53
157314,1,MQ8_H2,0.050,ppm,23.03,57.43,1014.53
157314,1,MQ135_CO2,400.232,ppm,23.03,57.43,1014.53
155080,1,BME_TEMP,23.030,C,23.03,57.43,1014.53
155080,1,BME_HUM,57.433,%,23.03,57.43,1014.53
155080,1,BME_PRESS,1014.530,hPa,23.03,57.43,1014.53
159881,1,MQ4_CH4,18.358,ppm,23.04,57.37,1014.53
159881,1,MQ136_H2S,2.090,ppm,23.04,57.37,1014.53
159881,1,MQ8_H2,0.050,ppm,23.04,57.37,1014.53
159881,1,MQ135_CO2,400.232,ppm,23.04,57.37,1014.53
157647,1,BME_TEMP,23.040,C,23.04,57.37,1014.53
157647,1,BME_HUM,57.365,%,23.04,57.37,1014.53
157647,1,BME_PRESS,1014.527,hPa,23.04,57.37,1014.53
162448,1,MQ4_CH4,18.358,ppm,23.04,57.35,1014.55
162448,1,MQ136_H2S,2.090,ppm,23.04,57.35,1014.55
162448,1,MQ8_H2,0.050,ppm,23.04,57.35,1014.55
162448,1,MQ135_CO2,400.232,ppm,23.04,57.35,1014.55
160215,1,BME_TEMP,23.040,C,23.04,57.35,1014.55
160215,1,BME_HUM,57.354,%,23.04,57.35,1014.55
160215,1,BME_PRESS,1014.547,hPa,23.04,57.35,1014.55
